personnel_id,first_name,last_name,dob,gender,address,city,state,postcode,current_base
18-7498727,Mae,Hollingsby,02/02/1982,F,2165 Annamark Parkway,Hobart,Tasmania,7803,Robertson Barracks
18-9019270,Manolo,Perrat,20/11/1975,M,39 Moulton Trail,Australia Square,New South Wales,1213,Jervis Bay (Navy College)
18-9396396,Mack,Bonnefin,14/04/1987,M,28 John Wall Circle,Sydney,New South Wales,1161,Holsworthy Barracks
19-0931980,Boote,Fury,16/06/1982,M,5 Montana Circle,Adelaide Mail Centre,South Australia,5889,Jervis Bay (Navy College)
19-1352358,Jase,Mander,07/11/1987,M,03 Buena Vista Junction,Sydney,New South Wales,1028,RAAF Base Richmond
19-1792606,Elvira,Clutton,07/11/1983,F,7231 Walton Center,Eastern Suburbs Mc,New South Wales,1391,Garden Island (Fleet Base East)
19-1882694,Amos,Snowsill,04/01/1972,M,8219 Debs Avenue,Sydney,New South Wales,1120,HMAS Harman
19-1939627,Jasmine,Swadlin,11/10/1971,F,7 Roth Place,Sydney,New South Wales,1043,RAAF Base Tindal
19-3515633,Ursuline,McComas,23/04/1978,F,56919 Elmside Pass,Sydney,New South Wales,1140,HMAS Waterhen
19-4668550,Jaimie,Basnett,15/06/1984,F,597 Vera Circle,Adelaide,South Australia,5839,RAAF Base Wagga
19-4683074,Goddard,Duffett,10/05/1983,M,50460 1st Street,Sydney,New South Wales,1206,Victoria Barracks (Sydney)
19-9003188,Vernen,Cheverton,11/03/1981,M,39630 Miller Pass,Adelaide Mail Centre,South Australia,5874,Woodside Barracks
19-9244765,Richmound,Hallows,19/07/1970,M,1445 Steensland Hill,Sydney,New South Wales,1028,Watsonia Barracks
20-0911950,Adele,Battista,26/01/1982,F,4 Clyde Gallagher Terrace,Sydney,New South Wales,1206,Lavarack Barracks
20-1585352,Annis,Salmon,02/02/1987,F,97589 Holy Cross Avenue,Strawberry Hills,New South Wales,1424,Townsville Field Training Area
20-1806942,Anny,Dinsey,20/07/1978,F,089 Longview Terrace,Eastern Suburbs Mc,New South Wales,1391,Woodside Barracks
20-1813050,Kati,Yarranton,06/01/1984,F,1246 Coolidge Court,Adelaide Mail Centre,South Australia,5899,RAAF Base Edinburgh
20-3058943,Felicdad,Gross,23/07/1975,F,084 Lindbergh Avenue,Eastern Suburbs Mc,New South Wales,1391,RAAF Base Williamtown
20-6175130,Margie,Scambler,29/01/1980,F,008 Village Place,Adelaide Mail Centre,South Australia,5874,HMAS Stirling (Fleet Base West)
20-6820962,Ozzie,Hallmark,08/04/1988,M,4 Pierstorff Place,Sydney,New South Wales,1109,HMAS Coonawarra
20-7272431,Pat,Canadine,25/08/1988,M,5093 Clyde Gallagher Park,Sydney,New South Wales,1140,RAAF Scherger
20-7950653,Karoly,Brandon,01/09/1975,M,3 Havey Parkway,Sydney,New South Wales,1009,RAAF Base Wagga
20-8512936,Samson,Regglar,25/06/1977,M,82 Sachs Lane,Sydney,New South Wales,1191,Robertson Barracks
20-9664340,Oona,Peacop,31/05/1978,F,8 Warrior Circle,Sydney,New South Wales,1043,RAAF Base Edinburgh
20-9900225,Huberto,Calven,01/01/1982,M,8 Warner Parkway,Hobart,Tasmania,7808,RAAF Base Amberley
21-1766254,Janet,Dyzart,28/12/1984,F,7925 Bobwhite Avenue,Sydney,New South Wales,1181,HMAS Waterhen
21-1937515,Kaspar,McPhail,15/07/1988,M,020 Amoth Point,Perth,Western Australia,6843,RAAF Woomera
21-1961249,Janette,Ciccetti,10/08/1989,F,40635 Portage Way,Northern Suburbs Mc,New South Wales,1694,RAAF Base Tindal
21-3100446,Sher,Pettman,26/09/1980,F,0 Melvin Circle,Sydney,New South Wales,1171,Majura Training Area
21-3615271,Dunstan,Hayes,11/12/1980,M,6 Merrick Hill,Hobart,Tasmania,7803,HMAS Cairns
21-4149563,Coriss,Colwill,27/12/1973,F,60727 Sage Lane,Adelaide Mail Centre,South Australia,5874,Victoria Barracks (Melbourne)
21-5711085,Madel,Lyddy,06/01/1977,F,0668 Meadow Vale Point,Sydney,New South Wales,1043,Jervis Bay (Navy College)
21-6850492,Ayn,Klulik,04/05/1970,F,6877 Golf View Alley,Australia Square,New South Wales,1213,HMAS Albatross
21-7087011,Merline,Jankiewicz,02/09/1977,F,61 Talisman Way,Sydney,New South Wales,1009,Woodside Barracks
21-8690927,Salomi,Caudelier,05/01/1971,F,642 Atwood Crossing,Eastern Suburbs Mc,New South Wales,1325,HMAS Stirling (Fleet Base West)
21-9593501,Boniface,Gianneschi,02/12/1980,M,864 Briar Crest Center,Eastern Suburbs Mc,New South Wales,1315,RAAF Base Darwin
22-0800779,Sasha,Andrew,16/10/1981,F,069 West Street,Launceston,Tasmania,7916,RAAF Base Williamtown
22-2122053,Barton,McKinley,20/01/1982,M,81 Ronald Regan Way,Perth,Western Australia,6843,Gallipoli Barracks
22-2747138,Fallon,Kelinge,04/01/1974,F,21 Pennsylvania Place,Strawberry Hills,New South Wales,1424,Woodside Barracks
22-5274679,Chilton,Labbey,09/06/1974,M,482 Larry Park,Eastern Suburbs Mc,New South Wales,1325,Robertson Barracks
22-6044800,Mahmoud,Sargeaunt,26/12/1987,M,4 Orin Terrace,Australia Square,New South Wales,1213,RAAF Base Pearce (Pilot Training)
22-7091547,Ly,Chilcotte,03/01/1978,M,504 Gale Crossing,Adelaide Mail Centre,South Australia,5899,HMAS Harman
22-8350447,Nanni,Barron,22/05/1988,F,359 Heath Terrace,Sydney South,New South Wales,1235,Watsonia Barracks
23-0353698,Jacinda,Apfler,26/07/1984,F,119 Comanche Center,Adelaide Mail Centre,South Australia,5889,RAAF Base East Sale (Air Training College)
23-0782844,Chauncey,Vanes,11/02/1986,M,97038 Ohio Point,Perth,Western Australia,6817,Lavarack Barracks
23-0848901,Carter,Seak,27/11/1978,M,605 Shelley Lane,Launceston,Tasmania,7916,Lone Pine Barracks (School of Infantry)
23-0904640,Lindi,Jenner,27/11/1972,F,83 Pine View Drive,Eastern Suburbs Mc,New South Wales,1315,Garden Island (Fleet Base East)
23-1177039,Matthaeus,Seviour,04/02/1971,M,99 Mosinee Way,Eastern Suburbs Mc,New South Wales,1391,RAAF Curtin
23-3472992,Omero,Udall,16/03/1988,M,42236 Banding Place,Sydney South,New South Wales,1235,Joint Warfare Training Centre
23-5098665,Vanya,Pontin,15/11/1984,M,707 Lakeland Parkway,Adelaide Mail Centre,South Australia,5869,Puckapunyal Military Area (Training)
23-6014295,Beniamino,Pearton,11/08/1972,M,02504 East Way,Sydney,New South Wales,1196,HMAS Cairns
23-6221073,Trenna,Frary,24/05/1975,F,03 Kings Trail,Eastern Suburbs Mc,New South Wales,1325,HMAS Cerberus (Training Establishment)
23-6312765,Roanne,Driffill,09/07/1985,F,13590 Truax Plaza,Melbourne,Victoria,8383,HMAS Cairns
23-6677808,Stacie,Wrankmore,23/05/1982,F,51211 Paget Hill,Adelaide Mail Centre,South Australia,5869,RAAF Base East Sale (Air Training College)
23-7786962,Luther,Stang-Gjertsen,20/06/1975,M,3 Independence Street,Sydney,New South Wales,1181,Kokoda Barracks (Land Warfare Centre)
23-9830535,Nevin,De Andreis,06/10/1974,M,0 Delladonna Parkway,Strawberry Hills,New South Wales,1424,HMAS Coonawarra
24-1593469,Ellyn,Kirman,06/05/1986,F,9676 Dawn Plaza,Sydney,New South Wales,1140,RAAF Base Wagga
24-2048822,Riordan,Litchfield,29/10/1988,M,4441 Beilfuss Terrace,Australia Square,New South Wales,1213,RAAF Base East Sale (Air Training College)
24-3070316,Cynde,Vida,03/02/1970,F,461 Nobel Parkway,Sydney,New South Wales,1043,RAAF Curtin
24-4668021,Purcell,Ecles,13/05/1987,M,33 Washington Drive,Sydney,New South Wales,1043,HMAS Cairns
24-4837466,Sibel,Fawley,25/03/1979,F,8002 Darwin Avenue,Adelaide Mail Centre,South Australia,5889,Townsville Field Training Area
24-5296405,Vassily,Jackman,30/11/1987,M,826 Saint Paul Crossing,Sydney,New South Wales,1120,Victoria Barracks (Sydney)
24-5552545,Suzann,Kinsell,20/02/1977,F,342 Stoughton Court,Sydney,New South Wales,1140,HMAS Stirling (Fleet Base West)
24-6045094,Ofilia,Sibylla,30/10/1973,F,4 Weeping Birch Alley,Launceston,Tasmania,7904,RAAF Learmonth
24-6180641,Adrianne,Proback,20/01/1976,F,2453 Almo Alley,Sydney South,New South Wales,1235,Gallipoli Barracks
24-7650179,Eugenius,Moubray,15/05/1979,M,2 Eastwood Junction,Adelaide Mail Centre,South Australia,5869,RAAF Base Tindal
25-0621206,Anastassia,Tassel,29/01/1980,F,47762 Luster Pass,Sydney,New South Wales,1140,Joint Warfare Training Centre
25-0846844,Mariele,Mee,03/10/1981,F,75907 Delaware Parkway,Sydney,New South Wales,1109,Garden Island (Fleet Base East)
25-0902197,Halie,Betteriss,26/07/1987,F,5 Commercial Junction,Sydney,New South Wales,1161,RAAF Learmonth
25-9502381,Mariel,Rosenberg,21/02/1970,F,9 Ohio Lane,Sydney,New South Wales,1028,Shoalwater Bay Training Area
25-9509113,Pennie,Foli,18/01/1973,F,59 Crowley Crossing,Launceston,Tasmania,7916,Watsonia Barracks
26-1538768,Nilson,Nasi,19/10/1970,M,7 Ridgeview Park,Hobart,Tasmania,7803,RAAF Base Darwin
26-3080267,Perle,Edgeson,08/08/1988,F,5 Drewry Terrace,Hobart,Tasmania,7803,Victoria Barracks (Sydney)
26-5674833,Herta,Eveling,29/03/1981,F,316 Eastwood Center,Melbourne,Victoria,8383,Lavarack Barracks
26-5706125,Aymer,Sannes,05/02/1974,M,7620 Barby Parkway,Perth,Western Australia,6817,Jungle Training Wing
26-6113601,Ring,Westall,22/08/1988,M,6815 Blue Bill Park Court,Melbourne,Victoria,8045,Jungle Training Wing
26-6288275,Field,McCormack,24/03/1971,M,1666 Talisman Avenue,Perth,Western Australia,6843,HMAS Albatross
26-7014353,Dorrie,Loadsman,20/05/1973,F,836 Chinook Crossing,Launceston,Tasmania,7904,RAAF Base Wagga
26-8371346,Brian,Elham,09/02/1979,M,8122 Westridge Place,Sydney South,New South Wales,1235,RAAF Base Amberley
27-0652637,Wilbert,Devericks,04/12/1974,M,847 Cody Pass,Brisbane,Queensland,9010,RAAF Base Wagga
27-0719328,Trixy,Binnall,24/03/1976,F,122 Melrose Center,Sydney,New South Wales,1181,Lone Pine Barracks (School of Infantry)
27-1358316,Son,Pentin,07/07/1978,M,1 Annamark Park,Adelaide Mail Centre,South Australia,5869,RAAF Base East Sale (Air Training College)
27-1853043,Killy,Maybey,02/02/1973,M,401 Hayes Junction,Eastern Suburbs Mc,New South Wales,1391,RAAF Scherger
27-2337471,Ofella,Claasen,27/09/1975,F,42188 Gina Court,Northern Suburbs Mc,New South Wales,1694,Lavarack Barracks
27-3079445,Mitchael,Hagland,09/07/1980,M,71 Claremont Plaza,Sydney,New South Wales,1109,HMAS Stirling (Fleet Base West)
27-6876819,Sophronia,Elgram,08/03/1989,F,7 Continental Alley,Strawberry Hills,New South Wales,1424,HMAS Harman
27-6904650,Miguel,Brommage,04/07/1985,M,1088 Emmet Center,Sydney,New South Wales,1196,Puckapunyal Military Area (Training)
27-7494022,Art,Ferrao,25/08/1973,M,90 Westend Court,Launceston,Tasmania,7904,Joint Warfare Training Centre
27-8034714,Reggie,Pedracci,26/11/1971,M,74929 Dottie Way,Melbourne,Victoria,8383,RAAF Learmonth
27-9878238,Sayre,Karslake,09/11/1973,M,9106 Vermont Pass,Adelaide Mail Centre,South Australia,5889,Woodside Barracks
28-1468289,Lauraine,Abberley,08/11/1973,F,5 Dryden Center,Sydney South,New South Wales,1235,HMAS Harman
28-1532509,Dag,Painten,17/03/1974,M,30268 Eagle Crest Drive,Hobart,Tasmania,7803,RAAF Base Williamtown
28-1623021,Dolores,Govett,02/12/1985,F,1133 Fairfield Drive,Launceston,Tasmania,7904,Garden Island (Fleet Base East)
28-3588470,Honey,Golde,27/09/1974,F,6556 Canary Plaza,Sydney,New South Wales,1043,HMAS Cairns
28-5032202,Bern,Carpenter,17/12/1978,M,830 Walton Crossing,Sydney,New South Wales,1140,Swanbourne Barracks (SAS Regiment)
28-7890084,Sonia,Cowans,26/01/1985,F,3209 Valley Edge Pass,Perth,Western Australia,6817,Robertson Barracks
28-8042981,Sawyere,MacDearmaid,10/05/1970,M,23 Bluestem Terrace,Adelaide Mail Centre,South Australia,5889,RAAF Woomera
28-9912806,Bern,Neumann,08/07/1972,M,20 Porter Crossing,Sydney,New South Wales,1134,Holsworthy Barracks
29-0025559,Jennette,Goudard,15/05/1978,F,246 Milwaukee Trail,Sydney,New South Wales,1109,Gallipoli Barracks
29-1227649,Barnaby,Courtese,29/05/1984,M,00 Transport Crossing,Sydney,New South Wales,1181,HMAS Coonawarra
29-1355064,Michell,Dissman,29/02/1976,F,14 Stang Point,Australia Square,New South Wales,1213,Joint Warfare Training Centre
29-4251081,Garrik,Casier,27/03/1976,M,9048 Sunbrook Place,Eastern Suburbs Mc,New South Wales,1325,Blamey Barracks (Army Recruit Training Centre)
29-5074257,Prince,Budibent,05/05/1988,M,8 Twin Pines Street,Adelaide,South Australia,5839,HMAS Kuttabul (Fleet Base East)
29-5504481,Gae,MacNeill,20/07/1986,F,974 Birchwood Lane,Sydney South,New South Wales,1235,Robertson Barracks
29-6451439,Rosana,Regler,01/10/1974,F,527 Londonderry Way,Eastern Suburbs Mc,New South Wales,1315,Woodside Barracks
29-8040695,Wiatt,Fawthorpe,23/04/1980,M,63349 Tennyson Center,Sydney,New South Wales,1043,Irwin Barracks
29-8146637,Rand,Gibling,09/05/1980,M,360 Lakewood Gardens Point,Adelaide Mail Centre,South Australia,5899,Swanbourne Barracks (SAS Regiment)
29-8203414,Major,McVity,19/08/1985,M,02262 Delladonna Junction,Australia Square,New South Wales,1213,Puckapunyal Military Area (Training)
30-1831056,Conroy,Bennough,02/07/1973,M,73 Algoma Park,Hobart,Tasmania,7803,HMAS Coonawarra
30-3091047,Cornell,Colley,25/10/1970,M,00206 Jenifer Place,Australia Square,New South Wales,1213,RAAF Curtin
30-3210396,Huntington,Bartholomaus,04/06/1983,M,3360 Ludington Avenue,Sydney,New South Wales,1181,RAAF Base Richmond
30-3528843,Ellen,Franckton,10/04/1989,F,43935 Arizona Junction,Perth,Western Australia,6843,RAAF Base East Sale (Air Training College)
30-4001207,Jolene,Ende,27/05/1976,F,8 Westridge Plaza,Hobart,Tasmania,7803,Holsworthy Barracks
30-5073491,Eb,Coleman,10/11/1987,M,95 Mandrake Court,Hobart,Tasmania,7808,RAAF Scherger
30-7509005,Trevar,Boch,21/10/1974,M,5933 Kings Street,Sydney,New South Wales,1028,RAAF Base Wagga
30-8012818,Say,McCleverty,26/09/1976,M,4303 Veith Trail,Melbourne,Victoria,8045,RAAF Base Darwin
30-8555138,Glendon,Loudyan,19/02/1971,M,95 Coolidge Circle,Sydney,New South Wales,1028,HMAS Harman
31-1121105,Harlie,Ashtonhurst,26/11/1988,F,8330 Ridge Oak Place,Melbourne,Victoria,8045,Joint Warfare Training Centre
31-2293300,Drona,Dallemore,13/02/1971,F,8 Westridge Hill,Hobart,Tasmania,7803,Holsworthy Barracks
31-2314592,Mariska,Royle,09/06/1986,F,378 Sachs Crossing,Strawberry Hills,New South Wales,1424,RAAF Woomera
31-2391946,Lavena,Jarville,28/10/1971,F,7 Mccormick Place,Sydney,New South Wales,1140,HMAS Cerberus (Training Establishment)
31-3957221,Lynette,Dregan,03/01/1980,F,450 Vermont Trail,Adelaide,South Australia,5839,HMAS Waterhen
31-4002719,Tito,Bartleman,04/04/1973,M,6093 Kim Terrace,Sydney,New South Wales,1206,Joint Warfare Training Centre
31-4197012,Min,Style,18/11/1988,F,218 Bashford Avenue,Sydney,New South Wales,1191,Lavarack Barracks
31-4964640,Garvin,Chadwell,02/07/1989,M,7401 Nova Street,Sydney,New South Wales,1120,RAAF Base Edinburgh
31-5757882,Ian,Easterby,16/01/1989,M,23 Oak Point,Adelaide Mail Centre,South Australia,5869,RAAF Learmonth
31-8030746,Sybilla,Aynold,28/12/1988,F,51 Monica Crossing,Sydney,New South Wales,1196,Woodside Barracks
32-1284512,Querida,Haselup,26/10/1975,F,07808 Surrey Hill,Sydney,New South Wales,1196,RAAF Base Wagga
32-1345682,Helaina,Mouton,12/04/1980,F,84402 Autumn Leaf Hill,Brisbane,Queensland,9010,Shoalwater Bay Training Area
32-4086210,Amelina,Wyeld,29/10/1975,F,37 Sugar Parkway,Strawberry Hills,New South Wales,1424,Woodside Barracks
32-4614314,Ophelie,Pykett,20/02/1976,F,4876 Stang Junction,Northern Suburbs Mc,New South Wales,1694,RAAF Scherger
32-5608640,Natka,Fogden,19/01/1972,F,2301 Hazelcrest Street,Sydney,New South Wales,1196,RAAF Base Edinburgh
33-0094668,Austen,Amberson,31/05/1977,M,545 Thackeray Hill,Sydney,New South Wales,1028,RAAF Base East Sale (Air Training College)
33-0458658,Lory,Passion,19/10/1987,F,1 Larry Trail,Adelaide Mail Centre,South Australia,5889,Robertson Barracks
33-0754722,Daren,Cannon,12/08/1984,M,75902 Stuart Parkway,Launceston,Tasmania,7916,Blamey Barracks (Army Recruit Training Centre)
33-1151101,Noellyn,Deverock,10/06/1979,F,8463 Randy Junction,Perth,Western Australia,6843,RAAF Woomera
33-2199050,Alta,Bote,11/07/1976,F,9 Ramsey Center,Sydney,New South Wales,1028,Garden Island (Fleet Base East)
33-2538544,Brennan,Dutnell,13/09/1982,M,554 Dahle Pass,Northern Suburbs Mc,New South Wales,1694,HMAS Waterhen
33-2632314,Corri,Fishley,06/04/1980,F,54 Bay Hill,Northern Suburbs Mc,New South Wales,1694,Townsville Field Training Area
33-3009672,Jimmy,Stubbington,11/10/1975,M,0689 Debra Place,Adelaide,South Australia,5839,Townsville Field Training Area
33-3084765,Pryce,Vanyarkin,29/11/1975,M,3 Eastwood Point,Strawberry Hills,New South Wales,1424,Townsville Field Training Area
33-3138337,Oliy,Isaaksohn,25/02/1985,F,75 Lukken Center,Sydney,New South Wales,1009,Victoria Barracks (Sydney)
33-4959786,Analiese,Scardefield,29/03/1984,F,794 Marcy Way,Brisbane,Queensland,9010,Victoria Barracks (Sydney)
33-5760959,Dario,Ruzic,22/11/1976,M,296 Talmadge Way,Hobart,Tasmania,7808,Shoalwater Bay Training Area
33-6664786,Arron,Whisson,22/02/1984,M,57 School Road,Sydney South,New South Wales,1235,Gallipoli Barracks
33-6704422,Giacobo,Colbourn,01/11/1970,M,1673 Anzinger Court,Hobart,Tasmania,7803,RAAF Base Richmond
33-9872743,Jacynth,Silveston,15/04/1971,F,61491 Blue Bill Park Point,Sydney,New South Wales,1028,RAAF Base Williamtown
34-0804578,Dwight,Doherty,08/09/1973,M,84 Oriole Way,Adelaide Mail Centre,South Australia,5899,Mount Bundey Training Area
34-1370470,Roana,Hulcoop,25/09/1983,F,9 Londonderry Trail,Adelaide Mail Centre,South Australia,5889,Blamey Barracks (Army Recruit Training Centre)
34-2141144,Norris,Rawlin,17/05/1978,M,1 Spohn Lane,Adelaide Mail Centre,South Australia,5899,Robertson Barracks
34-3038474,Brooke,Sutlieff,17/08/1975,M,80663 Dapin Circle,Australia Square,New South Wales,1213,Shoalwater Bay Training Area
34-5207400,Roma,Gaddes,24/03/1987,M,48 Susan Alley,Melbourne,Victoria,8045,Jervis Bay (Navy College)
34-5233481,Jacinta,Beachamp,19/07/1974,F,0328 Center Alley,Sydney,New South Wales,1033,Kokoda Barracks (Land Warfare Centre)
34-5341976,Curcio,Greig,10/06/1974,M,7324 Kingsford Lane,Sydney,New South Wales,1140,Holsworthy Barracks
34-8865113,Eula,Pray,04/11/1985,F,86 Fisk Hill,Launceston,Tasmania,7904,Mount Bundey Training Area
34-9762290,Carey,Goulborne,24/11/1989,M,39 Toban Park,Sydney,New South Wales,1134,RAAF Base Williamtown
35-0645961,Cookie,Edleston,05/09/1974,F,2 Grasskamp Terrace,Sydney,New South Wales,1009,RAAF Base Tindal
35-2220229,Giacomo,Sawl,07/08/1980,M,081 Dovetail Junction,Hobart,Tasmania,7808,RAAF Base Darwin
35-3590976,Ellen,Doul,12/08/1971,F,9760 Weeping Birch Avenue,Sydney South,New South Wales,1235,HMAS Albatross
35-4259628,Florella,Gerhold,28/10/1987,F,66 Forest Dale Parkway,Melbourne,Victoria,8045,Joint Warfare Training Centre
35-4267191,Magdaia,Duker,16/04/1978,F,769 Tennyson Road,Sydney South,New South Wales,1235,Swanbourne Barracks (SAS Regiment)
35-4506892,Jeremie,OShiel,19/02/1986,M,895 Grover Way,Sydney,New South Wales,1181,RAAF Base East Sale (Air Training College)
35-6875785,Jerad,Kirkup,30/10/1976,M,541 Heath Way,Sydney,New South Wales,1134,RAAF Learmonth
35-7507240,Zondra,McAllester,18/06/1988,F,14 Sullivan Avenue,Melbourne,Victoria,8045,RAAF Woomera
35-7565504,Joly,Whapham,30/07/1973,F,93526 Sutherland Point,Eastern Suburbs Mc,New South Wales,1325,RAAF Base Amberley
35-9304959,Kylie,Marvelley,17/10/1977,F,663 Gale Center,Sydney,New South Wales,1196,Jungle Training Wing
36-0802866,Katti,Serotsky,10/08/1983,F,3943 Surrey Alley,Hobart,Tasmania,7808,HMAS Kuttabul (Fleet Base East)
36-1079541,Noll,Skurm,15/07/1971,M,433 Amoth Alley,Perth,Western Australia,6817,Victoria Barracks (Sydney)
36-1437805,Marsha,Lethbrig,28/06/1985,F,0 Dryden Point,Hobart,Tasmania,7803,HMAS Cerberus (Training Establishment)
36-2849426,Gail,Finlator,24/07/1972,M,243 Lien Crossing,Adelaide Mail Centre,South Australia,5899,HMAS Albatross
36-4030039,Dilly,Koubu,13/08/1976,M,1 Mockingbird Crossing,Eastern Suburbs Mc,New South Wales,1315,Watsonia Barracks
36-6116726,Dana,Ingyon,05/03/1975,M,23758 Dwight Street,Perth,Western Australia,6843,Holsworthy Barracks
36-7360640,Janeczka,Newns,09/10/1977,F,99 Dawn Road,Perth,Western Australia,6817,Gallipoli Barracks
36-7746195,Jacinda,Tansley,17/10/1974,F,14742 Service Road,Sydney South,New South Wales,1235,RAAF Base Darwin
36-7754943,Caralie,Pennycook,28/08/1983,F,65 Linden Avenue,Sydney,New South Wales,1140,Mount Bundey Training Area
36-7778168,Stanislas,Soppit,17/10/1975,M,36673 Stuart Road,Sydney,New South Wales,1171,RAAF Base Amberley
37-0028253,Vaughan,Gilyatt,16/02/1989,M,17 Village Point,Perth,Western Australia,6843,HMAS Stirling (Fleet Base West)
37-0256027,Rustin,Clapston,04/08/1981,M,5 Basil Hill,Hobart,Tasmania,7808,RAAF Base Darwin
37-2934366,Alys,Trathan,18/06/1977,F,274 Coleman Point,Launceston,Tasmania,7904,RAAF Base Darwin
37-3238544,Blancha,Medwell,14/05/1973,F,610 Roth Way,Adelaide Mail Centre,South Australia,5869,HMAS Coonawarra
37-4859621,Troy,Aked,17/11/1979,M,890 David Court,Launceston,Tasmania,7916,HMAS Cairns
37-4931397,Maris,Yu,19/03/1974,F,8111 North Trail,Hobart,Tasmania,7808,Irwin Barracks
37-4950112,Deloris,Shales,04/09/1971,F,5 Texas Junction,Sydney,New South Wales,1171,Shoalwater Bay Training Area
37-5192705,Ashley,Pinnick,05/02/1981,M,94817 Havey Point,Sydney,New South Wales,1171,RAAF Base Pearce (Pilot Training)
37-5197081,Barty,Grimsell,18/06/1976,M,3 Kings Court,Melbourne,Victoria,8045,Puckapunyal Military Area (Training)
37-5890192,Bertie,Ivery,13/11/1984,F,484 Saint Paul Avenue,Strawberry Hills,New South Wales,1424,RAAF Base Pearce (Pilot Training)
37-8206426,Libbie,Borrie,08/05/1973,F,086 Union Junction,Perth,Western Australia,6817,RAAF Base Richmond
38-1170334,Birgitta,Ellerton,14/09/1985,F,45288 Nova Drive,Perth,Western Australia,6843,HMAS Cerberus (Training Establishment)
38-2311027,Talya,Rapp,29/12/1978,F,46181 Village Hill,Melbourne,Victoria,8045,Blamey Barracks (Army Recruit Training Centre)
38-2618559,Derward,Wadelin,02/11/1982,M,7015 Vidon Point,Melbourne,Victoria,8383,RAAF Base Williamtown
38-2980358,Briney,Croizier,14/07/1984,F,346 Welch Terrace,Sydney,New South Wales,1130,Holsworthy Barracks
38-4877833,Guendolen,Deviney,19/07/1974,F,96571 Granby Park,Sydney,New South Wales,1009,Gallipoli Barracks
38-5577382,Lucia,Penhale,30/11/1977,F,9368 Weeping Birch Hill,Adelaide,South Australia,5839,Victoria Barracks (Melbourne)
38-6413110,Edmon,Nornasell,07/06/1986,M,60 Crest Line Terrace,Australia Square,New South Wales,1213,HMAS Stirling (Fleet Base West)
38-6617444,Linoel,Schusterl,04/03/1981,M,097 Rockefeller Street,Hobart,Tasmania,7803,Mount Bundey Training Area
38-8337924,Neile,Greves,08/01/1986,F,04 Mcbride Circle,Sydney,New South Wales,1196,RAAF Woomera
38-8566209,Eldin,Covill,15/06/1986,M,80 Amoth Junction,Strawberry Hills,New South Wales,1424,Majura Training Area
38-8860973,Arthur,Harlow,10/11/1987,M,244 Eliot Circle,Adelaide Mail Centre,South Australia,5869,Victoria Barracks (Melbourne)
39-0973138,Cilka,Hiddy,11/03/1988,F,110 Ronald Regan Way,Sydney,New South Wales,1161,Watsonia Barracks
39-1614747,Zara,Kernock,26/08/1983,F,62 Paget Trail,Sydney,New South Wales,1130,Mount Bundey Training Area
39-5714613,Shoshanna,Tull,30/05/1973,F,985 Oak Valley Court,Sydney,New South Wales,1196,RAAF Base East Sale (Air Training College)
39-7209314,Ethelyn,Benedite,29/10/1982,F,0986 Ramsey Point,Australia Square,New South Wales,1213,RAAF Base Williamtown
39-7403341,Pete,Vigurs,09/12/1974,M,901 Carberry Center,Adelaide Mail Centre,South Australia,5869,Gallipoli Barracks
39-8826085,Lincoln,Coppenhall,19/06/1979,M,06 Lakewood Gardens Trail,Launceston,Tasmania,7916,HMAS Harman
39-8953231,Harmonie,Pundy,20/05/1989,F,613 Mcbride Junction,Sydney,New South Wales,1009,Jungle Training Wing
39-9729037,Neile,Cuerdale,24/09/1973,F,1826 Almo Park,Sydney,New South Wales,1191,RAAF Base Pearce (Pilot Training)
39-9807716,Merrile,Bennoe,16/02/1970,F,34 Leroy Hill,Sydney,New South Wales,1120,HMAS Kuttabul (Fleet Base East)
39-9838883,Allistir,Symmers,25/10/1975,M,85270 Everett Plaza,Adelaide,South Australia,5839,RAAF Scherger
40-2008454,Sky,Gatman,13/10/1970,M,9163 Springview Point,Sydney South,New South Wales,1235,HMAS Harman
40-2599974,Constanta,Vivien,25/06/1980,F,397 Pennsylvania Circle,Sydney,New South Wales,1206,RAAF Base East Sale (Air Training College)
40-3145113,Nealson,Wroath,30/11/1984,M,3 Leroy Junction,Sydney,New South Wales,1171,HMAS Stirling (Fleet Base West)
40-4041172,Roderick,Renol,15/05/1980,M,8681 Cordelia Place,Perth,Western Australia,6817,Jervis Bay (Navy College)
40-5196115,Agnella,John,29/08/1971,F,31490 Welch Park,Sydney,New South Wales,1140,RAAF Learmonth
40-7095375,Marshal,Gillise,16/03/1987,M,0 Del Sol Plaza,Sydney,New South Wales,1196,RAAF Base Tindal
40-7757127,Emmett,Mockford,25/07/1977,M,5712 Fair Oaks Plaza,Adelaide,South Australia,5839,HMAS Stirling (Fleet Base West)
40-8152992,Merilyn,Volette,19/01/1983,F,12 Prairie Rose Court,Adelaide Mail Centre,South Australia,5874,HMAS Coonawarra
40-8708167,Minni,Undrell,23/02/1976,F,78 Bluestem Terrace,Sydney,New South Wales,1140,Mount Bundey Training Area
40-9097487,Hetti,Stannett,09/03/1981,F,02 Ridge Oak Park,Sydney,New South Wales,1120,Majura Training Area
41-0608809,Janeen,Capenor,14/09/1982,F,29014 Harper Road,Eastern Suburbs Mc,New South Wales,1325,Lone Pine Barracks (School of Infantry)
